ID,NAME,YEAR,MONTH,DAY,HOUR,LAT,LONG,STATUS,CATEGORY,WIND,PRESSURE,TROPICALSTORM_FORCE_DIAMETER,HURRICANE_FORCE_DIAMETER
ALLISON200106,Allison,2001,6,5,12,27.5,-95,Tropical Storm,NA,40,1007,NA,NA
ALLISON200106,Allison,2001,6,5,18,28.5,-95.3,Tropical Storm,NA,50,1002,NA,NA
ALLISON200106,Allison,2001,6,5,21,28.9,-95.3,Tropical Storm,NA,45,1003,NA,NA
ALLISON200106,Allison,2001,6,6,0,29.3,-95.3,Tropical Storm,NA,45,1003,NA,NA
ALLISON200106,Allison,2001,6,6,6,30.1,-95.2,Tropical Depression,NA,30,1006,NA,NA
ALLISON200106,Allison,2001,6,6,12,31,-95.2,Tropical Depression,NA,20,1005,NA,NA
ALLISON200106,Allison,2001,6,6,18,31.5,-95,Tropical Depression,NA,20,1005,NA,NA
ALLISON200106,Allison,2001,6,7,0,31.6,-95,Tropical Depression,NA,20,1005,NA,NA
ALLISON200106,Allison,2001,6,7,6,31.8,-94.9,Tropical Depression,NA,20,1006,NA,NA
ALLISON200106,Allison,2001,6,7,12,31.4,-94.9,Tropical Depression,NA,20,1006,NA,NA
ALLISON200106,Allison,2001,6,7,18,31.1,-95,Tropical Depression,NA,15,1007,NA,NA
ALLISON200106,Allison,2001,6,8,0,30.9,-95.6,Tropical Depression,NA,15,1002,NA,NA
ALLISON200106,Allison,2001,6,8,6,30.7,-96.1,Tropical Depression,NA,20,1004,NA,NA
ALLISON200106,Allison,2001,6,8,12,30.4,-96.2,Tropical Depression,NA,20,1007,NA,NA
ALLISON200106,Allison,2001,6,8,18,30.2,-96.1,Tropical Depression,NA,20,1007,NA,NA
ALLISON200106,Allison,2001,6,9,0,29.9,-95.9,Tropical Depression,NA,20,1007,NA,NA
ALLISON200106,Allison,2001,6,9,6,29.6,-95.8,Tropical Depression,NA,20,1007,NA,NA
ALLISON200106,Allison,2001,6,9,12,29.3,-95.8,Tropical Depression,NA,20,1007,NA,NA
ALLISON200106,Allison,2001,6,9,18,28.9,-95.6,Tropical Depression,NA,20,1008,NA,NA
ALLISON200106,Allison,2001,6,10,0,28.6,-95.2,Subtropical Depression,NA,20,1008,NA,NA
ALLISON200106,Allison,2001,6,10,6,28.6,-94.7,Subtropical Depression,NA,25,1007,NA,NA
ALLISON200106,Allison,2001,6,10,12,28.7,-94.3,Subtropical Depression,NA,25,1006,NA,NA
ALLISON200106,Allison,2001,6,10,18,28.8,-93.5,Subtropical Depression,NA,30,1006,NA,NA
ALLISON200106,Allison,2001,6,11,0,29.1,-92.3,Subtropical Depression,NA,30,1005,NA,NA
ALLISON200106,Allison,2001,6,11,2,29.6,-91.6,Subtropical Depression,NA,30,1004,NA,NA
ALLISON200106,Allison,2001,6,11,6,30,-90.5,Subtropical Storm,NA,35,1003,NA,NA
ALLISON200106,Allison,2001,6,11,12,30.7,-89.4,Subtropical Storm,NA,40,1000,NA,NA
ALLISON200106,Allison,2001,6,11,18,31,-88.4,Subtropical Storm,NA,35,1002,NA,NA
ALLISON200106,Allison,2001,6,12,0,31.3,-87.4,Subtropical Depression,NA,25,1004,NA,NA
ALLISON200106,Allison,2001,6,12,6,31.8,-86.1,Subtropical Depression,NA,20,1005,NA,NA
ALLISON200106,Allison,2001,6,12,12,32.4,-84.7,Subtropical Depression,NA,20,1006,NA,NA
ALLISON200106,Allison,2001,6,12,18,32.8,-83.6,Subtropical Depression,NA,20,1006,NA,NA
ALLISON200106,Allison,2001,6,13,0,33.1,-82.6,Subtropical Depression,NA,20,1006,NA,NA
ALLISON200106,Allison,2001,6,13,6,33.4,-81.6,Subtropical Depression,NA,25,1004,NA,NA
ALLISON200106,Allison,2001,6,13,12,33.7,-80.7,Subtropical Depression,NA,25,1005,NA,NA
ALLISON200106,Allison,2001,6,13,18,34,-79.6,Subtropical Depression,NA,25,1006,NA,NA
ALLISON200106,Allison,2001,6,14,0,34.3,-78.5,Subtropical Depression,NA,25,1006,NA,NA
ALLISON200106,Allison,2001,6,14,6,34.6,-77.9,Subtropical Depression,NA,25,1006,NA,NA
ALLISON200106,Allison,2001,6,14,12,34.7,-77.7,Subtropical Depression,NA,25,1007,NA,NA
ALLISON200106,Allison,2001,6,14,18,34.6,-77.6,Subtropical Depression,NA,25,1008,NA,NA
ALLISON200106,Allison,2001,6,15,0,34.6,-77.2,Subtropical Depression,NA,25,1008,NA,NA
